id,name,description,ingredients
1,桃米炒蛋,桃米炒蛋是四川特色菜之一，以鲜桃、鸡蛋等为原料，加以油盐酱醋加以炒制。味道鲜美，营养丰富，口感极佳，而深受游客的喜爱。,鲜桃、鸡蛋
2,川椒鸡胗球,川椒鸡胗球是一道美食，属于川菜，主要原料有鸡胗、珍珠菜叶、龙虾片等。,鸡胗500克
3,渝味辣白菜,,娃娃菜200克
4,红椒炒肉,红椒炒肉是一道简单的家常菜，主料是排骨肉、红椒、大蒜。,排骨肉
5,鱼头烧豆腐,鱼头烧豆腐是一道川菜，属于家常菜，符合大众口味，原料常见且价格低廉，制作方法简单。,鱼头，豆腐
6,芋儿鸡,芋儿鸡，是川渝地方著名美食之一，主要原料是新鲜鸡肉、辣椒、芋头，加辅料与酸菜，经爆炒或慢炖红烧。鸡肉质地细嫩，辣而不燥，芋儿粑糯回甜，让人回味。,鸡，小芋头，辣椒，豆瓣酱
7,清炒玉米粒,清炒玉米粒是一道菜品，主料是玉米粒；配料有黄瓜粒等；调料有食用油、葱末、胡椒粉等，该道菜通过将菜放锅内翻炒制作而成。,玉米粒
8,酸辣白菜,酸辣白菜是一道四川省的传统名菜，属于川菜系。,黄芽白菜，干辣椒，花椒，生姜
9,蒜苗炒肉,蒜苗炒肉属川菜，主要食材是蒜苗和五花肉，调料为红椒、植物油、盐等。该道菜通过将食材倒入锅中翻炒烹饪制作而成。,蒜功，猪肉
10,炝莲白,炝莲白又叫炝莲花白、爆炒莲花白、炝圆白等，是一道美味可口的地方名菜，属于川菜系。此菜鲜咸微辣，酸甜可口。是中国各大菜系中较传统的一种家常菜，其做法有多种，有爆炒莲花白、糖醋莲花白、水煮莲花白、素炒莲花白等。,莲白
11,酸辣鸡杂,酸辣鸡杂是用鸡杂制作的一道家常菜。是一种流行于四川、湖南一带的家常菜。鸡杂，即包括鸡心、鸡肝、鸡肾、鸡肠等，鲜美可口，且有多样营养素。中医认为它们皆有助消化、和脾胃之功效。合而为汤，能健胃消食、润肤养肌。,鸡杂，辣椒
